index,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,price_per_piece,amazon_rating
5009,12+,107.88,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,DN,0.10453488372093023,4.7
5010,12+,77.88,14.0,744.0,3.2,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,"Discover the architectural secrets of Frank Lloyd Wright’s Solomon R. Guggenheim Museum®. This accurately detailed LEGO® model faithfully recreates the curves and distinctive lines that have made this building an architectural icon for the last half-century. The simple, grid-patterned facade of the annex tower complements the main building with its circular rotundas, while buildable exterior elements depict a section of New York City’s 5th Avenue Museum Mile, complete with its signature yellow cabs. The Guggenheim sign, featuring Wright’s architectural lettering, has also been recreated in a similar typeface to heighten the authenticity of the model. This LEGO Architecture model has been designed to deliver a rewarding building experience for all with an interest in architecture, travel, history and design, and is suitable for display in the home and office.
LEGO® Architecture interpretation of the real-world architectural landmark, the Solomon R. Guggenheim Museum®.
Features the Guggenheim’s modernist facade with its circular rotundas and distinctive lines, plus the eight-story annex tower and a section of New York City's 5th Avenue Museum Mile including scaled yellow cabs.
The Guggenheim sign, featuring Wright's architectural lettering, has also been recreated in a similar typeface to complement the authenticity of the model.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, architecture, history and design.
This set includes over 740 LEGO® pieces and offers an age-appropriate building experience for ages 12+.
Measures over 4” (12cm) high, 7” (19cm) wide and 5” (14cm) deep.",Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture,4.1,DN,0.10467741935483871,4.8
5011,12+,65.88,7.0,597.0,3.7,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,"Recreate Shanghai in China's blend of historical and modern architecture with this realistic 21039 LEGO® Architecture Skyline Collection model. This LEGO brick collectible toy features the city's iconic points of interest, including Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center, the Shanghai Tower and Huangpu River, and is finished with a decorative Shanghai nameplate. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with realistic color depiction.
LEGO® Architecture interpretation of Shanghai, China.
Features iconic attractions Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center and the Shanghai Tower.
The Huangpu River is represented in the tiled baseplate.
The included booklet contains information about the designer, architecture and history of each structure, as well as historical facts about Shanghai and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture. Ask your parents before going online).
Includes a 4x32 tiled base with decorative Shanghai nameplate.
Recreate the world's most dynamic cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This collectible souvenir toy includes over 595 pieces and is suitable for ages 12+.
Measures over 9” (25cm) high, 11” (28cm) wide and 2” (7cm) deep.",Average,Shanghai,4.9,Architecture,4.4,DN,0.11035175879396984,4.7
5012,12+,53.88,24.0,780.0,4.4,Recreate Buckingham Palace with LEGO® Architecture!,21029,"Build a LEGO® brick model of London's official royal residence. This magnificent model focuses on the palace's east wing with its famous balcony, forecourt and palace gates. A section of the Mall is also depicted, complete with a double-decker bus, black taxicab and the Victoria Memorial. The model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in architecture, travel, history and design.
LEGO® Architecture interpretation of the real-world architectural landmark, Buckingham Palace.
Features the neoclassical facade of the palace's east wing and includes the Royal Standard flag, forecourt and palace gates, plus a section of the Mall with Victoria Memorial, red double-decker bus and a black taxicab.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, architecture, history and design.
This set includes over 700 LEGO® pieces.
This set offers an age-appropriate building experience for ages 12+.
Measures 3” (10cm) high, 7” (20cm) wide and 7” (19cm) deep.",Average,Buckingham Palace,4.7,Architecture,4.3,DN,0.06907692307692308,4.7
5013,12+,53.88,37.0,598.0,3.7,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,"Celebrate the architectural diversity of New York City with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Flatiron Building, Chrysler Building™, Empire State Building, One World Trade Center and the Statue of Liberty, and is finished with a decorative “New York City” nameplate.
LEGO® interpretation of the New York City skyline.
Features the Flatiron Building, Chrysler Building™, Empire State Building, One World Trade Center and the Statue of Liberty.
The included booklet contains information about the designer, architecture and history of each building, as well as historical facts about New York City and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture. Ask your parents' or guardians' permission before going online).
Includes a 4x32 tiled base with decorative “New York City” nameplate.
Recreate the world's most beautiful cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in design, architecture and history.
Measures 10” (26cm) high, 9” (25cm) wide and 1” (4cm) deep",Average,New York City,4.2,Architecture,4.1,DN,0.09010033444816054,4.7
5014,12+,47.88,23.0,468.0,3.6,Celebrate London with this LEGO® Architecture Skyline model!,21034,"Celebrate the architectural diversity of London with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the National Gallery, Nelson’s Column, London Eye, Big Ben (the Elizabeth Tower) and Tower Bridge, and is finished with a decorative “London” nameplate.
LEGO® Architecture interpretation of London.
Features the National Gallery, Nelson’s Column, London Eye, Big Ben (the Elizabeth Tower) and Tower Bridge.
London’s Thames River is represented by transparent baseplate tiles.
Tower Bridge opens to greet the incoming ship.
The included booklet contains information about the designer, architecture and history of each building, as well as historical facts about London and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture).
Includes a 4x32 tiled base with a decorative “London” nameplate.
Recreate the world's most beautiful cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This set includes over 460 LEGO® pieces and offers an age-appropriate building experience for ages 12+.
Measures over 5” (15cm) high, 11” (28cm) wide and 3” (8cm) deep",Average,London,4.7,Architecture,4.1,DN,0.10230769230769231,4.7
5015,12+,41.88,11.0,444.0,3.6,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,"Recreate Chicago’s blend of historical and modern architecture with this realistic LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Willis Tower™, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red, and is finished with a decorative “Chicago” nameplate.
LEGO® Architecture interpretation of Chicago.
Features the Willis Tower™, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red.
The Chicago River is represented in the tiled baseplate and the DuSable Bridge opens and closes.
The included booklet contains information about the designer, architecture and history of each structure, as well as historical facts about Chicago and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture).
Includes a 4x32 tiled base with a decorative “Chicago” nameplate.
Recreate the world's most beautiful cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This set includes over 440 LEGO® pieces and offers an age-appropriate building experience for ages 12+.
Measures over 7” (20cm) high, 8” (22cm) wide and 1” (5cm) deep.",Average,Chicago,4.8,Architecture,4.5,DN,0.09432432432432433,4.7
5016,12+,36.0,53.0,321.0,3.2,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,"Presenting the LEGO® Architecture interpretation of one of the most iconic landmarks ever constructed – The Eiffel Tower! Designed and built by French entrepreneur, Gustave Eiffel, the original 324-meter-tall masterpiece of wrought iron engineering formed the grand entrance to the 1889 World’s Fair, held in Paris to celebrate the 100th anniversary of the French Revolution. During construction, the 18,038 wrought iron elements making up the tower’s lattice structure were bolted together at Eiffel’s factory on the outskirts of Paris, before being transported to the site, hoisted into place by steam-powered cranes operating from the elevator shafts, and assembled using no less than 2.5 million individual rivets. The resulting structure was extremely rigid and over the years has withstood storms, floods and everything else mother nature has thrown at it. Today, The Eiffel Tower is one of the world’s most popular landmarks, attracting millions of curious visitors from around the world each year. With this exceptional model, you can now build your very own 321-piece Eiffel Tower in LEGO brick form and display it in your home, office or wherever you like!
Interpretation of real-world architectural landmark The Eiffel Tower in LEGO® bricks 
Booklet included with details on design, architecture and history of the tower (English and French languages only. Other languages available for download at LEGO.com/architecture) 
Measures over 12” (31cm) high, 4” (11cm) wide and 4” (11cm) deep 
Collect the entire Landmark and Architecture series sets 
The LEGO® Architecture product line is about celebrating the world of architecture through the medium of the LEGO brick and for all with an interest in design, architecture and history",Average,The Eiffel Tower,4.6,Architecture,4.4,DN,0.11214953271028037,4.6
5017,12+,36.0,14.0,386.0,4.1,Experience the grandeur of the Arc de Triomphe!,21036,"Capture the architectural elegance of one of the world’s best-known monuments with this impressive LEGO® Architecture interpretation of the Arc de Triomphe. This detailed model faithfully reproduces Paris’ iconic masterpiece, with statue-adorned pillars, sculptural reliefs and subtle coloring that adds warmth while emphasizing the model’s bold lines, curves and contours. It also includes a golden plate to represent the Tomb of the Unknown Soldier, a LEGO interpretation of the eternal flame and a decorative “Arc de Triomphe” nameplate. This LEGO brick model has been designed to deliver a pleasantly challenging and rewarding building experience for all with an interest in architecture, travel, history and design, and makes a perfect display piece for the home or office.
LEGO® Architecture interpretation of the real-world architectural landmark, the Arc de Triomphe.
Features statue-adorned pillars, sculptural reliefs and subtle coloring that adds warmth and emphasis to the model’s bold lines, curves and contours. Also includes a golden plate to represent the Tomb of the Unknown Soldier and a buildable LEGO® interpretation of the eternal flame.
Includes a decorative “Arc de Triomphe” nameplate.
The included booklet contains information about the design, architecture and history of the monument (French and English languages only. Other languages available for download at LEGO.com/architecture/booklet).
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, architecture, history and design.
Delivers a pleasantly challenging and rewarding building experience.
Measures over 4” (11cm) high, 5” (14cm) wide and 3” (9cm) deep.",Average,Arc de Triomphe,4.4,Architecture,3.6,DN,0.09326424870466321,4.8
5018,12+,30.0,7.0,361.0,4.2,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,"Capture the architectural essence and splendor of Sydney with this magnificent set that brings together the iconic Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place, in an inspirational skyline setting. Each individual LEGO® structure provides a unique and rewarding building experience with true-to-life color and relative scale depiction. Sydney's sparkling harbor is represented in the tiled baseplate, adding an extra dimension and feel of authenticity to this detailed recreation of one of the world's most glamorous cities.
LEGO® Architecture interpretation of Sydney.
Features the Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place.
Sydney’s sparkling harbor is represented by transparent-blue baseplate tiles.
The included booklet contains information about the designer, architecture and history of each structure, as well as historical facts about Sydney and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture).
Includes a 4x32 tiled base with a decorative “Sydney” nameplate.
Recreate the world's most beautiful cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This set includes over 360 LEGO® pieces and offers an age-appropriate building experience for ages 12+.
Measures over 8” (21cm) high, 9” (25cm) wide and 2” (6cm) deep.",Easy,Sydney,4.6,Architecture,4.2,DN,0.08310249307479224,4.7
